,Sample1,Sample2,L1norm,comp,n_sites
75,K002187_S21.lf_filt,KPCOVID-0293_S8.lf_filt,33.971428,75,1421
76,K002187_S21.lf_filt,KPCOVID-0299_S13.lf_filt,36.484294,76,1421
77,K002187_S21.lf_filt,KPCOVID-0300_S14.lf_filt,28.491542,77,1421
78,K002187_S21.lf_filt,KPCOVID-040-R_S13.lf_filt,30.12374,78,1421
79,K002187_S21.lf_filt,KPCOVID-191_S72.lf_filt,45.828334,79,1421
80,K002187_S21.lf_filt,KPCOVID-192_S73.lf_filt,30.729657999999997,80,1421
81,K002187_S21.lf_filt,KPCOVID-193_S8.lf_filt,22.259172,81,1421
82,K002187_S21.lf_filt,KPCOVID-194_S9.lf_filt,23.303988,82,1421
83,K002187_S21.lf_filt,KPCOVID-195_S10.lf_filt,32.552284,83,1421
84,K002187_S21.lf_filt,KPCOVID-196_S77.lf_filt,45.085492,84,1421
85,K002187_S21.lf_filt,KPCOVID-260_S62.lf_filt,56.92721,85,1421
86,K002187_S21.lf_filt,KPCOVID-261_S63.lf_filt,47.182196000000005,86,1421
87,K002187_S21.lf_filt,KPCOVID-458_S39.lf_filt,28.109392,87,1421
88,K002187_S21.lf_filt,KPCOVID-460_S41.lf_filt,22.109392,88,1421
89,K002187_S21.lf_filt,KPCOVID-462_S43.lf_filt,20.137169999999998,89,1421
90,K002187_S21.lf_filt,KPCOVID-550_S22.lf_filt,23.924287999999997,90,1421
91,K002187_S21.lf_filt,KPCOVID-555_S27.lf_filt,31.989642,91,1421
92,K002187_S21.lf_filt,KPCOVID-556_S28.lf_filt,19.102926,92,1421
93,K002187_S21.lf_filt,KPCOVID-558_S30.lf_filt,28.807436,93,1421
94,K002187_S21.lf_filt,KPCOVID-561_S33.lf_filt,20.914282,94,1421
95,K002187_S21.lf_filt,KPCOVID-563_S35.lf_filt,23.99083,95,1421
96,K002187_S21.lf_filt,KPCOVID-564_S36.lf_filt,27.230396,96,1421
97,K002187_S21.lf_filt,KPCOVID-567_S38.lf_filt,23.454218,97,1421
98,K002187_S21.lf_filt,KPCOVID-568_S39.lf_filt,14.147077999999999,98,1421
99,K002187_S21.lf_filt,KPCOVID-569_S40.lf_filt,30.799602,99,1421
100,K002187_S21.lf_filt,KPCOVID-74_S4.lf_filt,33.36555,100,1421
101,K002187_S21.lf_filt,KPCOVID-75_S5.lf_filt,28.925518,101,1421
102,K002187_S21.lf_filt,KPCOVID-80_S10.lf_filt,36.553938,102,1421
103,K002187_S21.lf_filt,KPCOVID-81_S11.lf_filt,32.464658,103,1421
104,K002187_S21.lf_filt,KPCOVID-84_S2.lf_filt,35.245892,104,1421
105,K002187_S21.lf_filt,KPCOVID-88_S6.lf_filt,28.212058,105,1421
106,K002187_S21.lf_filt,KPCOVID-89_S7.lf_filt,34.421848,106,1421
107,K002187_S21.lf_filt,KPCOVID-91_S9.lf_filt,34.466814,107,1421
108,K002188_S22.lf_filt,K002187_S21.lf_filt,31.388168,0,1421
109,K002189_S23.lf_filt,K002187_S21.lf_filt,18.109392,1,1421
110,K002190_S24.lf_filt,K002187_S21.lf_filt,18.203908,2,1421
111,K002191_S25.lf_filt,K002187_S21.lf_filt,26.223965999999997,3,1421
112,K002192_S26.lf_filt,K002187_S21.lf_filt,33.458904,4,1421
113,K002194_S28.lf_filt,K002187_S21.lf_filt,26.109392,5,1421
114,K002195_S29.lf_filt,K002187_S21.lf_filt,24.109392,6,1421
115,K002196_S30.lf_filt,K002187_S21.lf_filt,8.36328,7,1421
116,K002197_S31.lf_filt,K002187_S21.lf_filt,26.239966,8,1421
117,K002198_S32.lf_filt,K002187_S21.lf_filt,26.543202,9,1421
118,K002199_S33.lf_filt,K002187_S21.lf_filt,22.109392,10,1421
119,K002200_S34.lf_filt,K002187_S21.lf_filt,29.227526,11,1421
120,K002202_S36.lf_filt,K002187_S21.lf_filt,24.22352,12,1421
121,K002203_S37.lf_filt,K002187_S21.lf_filt,25.691408,13,1421
122,K002204_S38.lf_filt,K002187_S21.lf_filt,8.840328,14,1421
123,K002205_S39.lf_filt,K002187_S21.lf_filt,33.963762,15,1421
124,K002206_S40.lf_filt,K002187_S21.lf_filt,10.88965,16,1421
125,K002208_S41.lf_filt,K002187_S21.lf_filt,29.990142000000002,17,1421
126,K002209_S42.lf_filt,K002187_S21.lf_filt,33.913129999999995,18,1421
127,K002210_S43.lf_filt,K002187_S21.lf_filt,20.109392,19,1421
128,K002211_S44.lf_filt,K002187_S21.lf_filt,28.516620000000003,20,1421
129,K002454_S10.lf_filt,K002187_S21.lf_filt,14.109392,21,1421
130,K002455_S11.lf_filt,K002187_S21.lf_filt,8.267759999999999,22,1421
131,K002456_S12.lf_filt,K002187_S21.lf_filt,8.295864,23,1421
132,K002457_S13.lf_filt,K002187_S21.lf_filt,8.391624,24,1421
133,K002460_S16.lf_filt,K002187_S21.lf_filt,25.443756,25,1421
134,K002461_S17.lf_filt,K002187_S21.lf_filt,24.55667,26,1421
135,K002463_S19.lf_filt,K002187_S21.lf_filt,26.109392,27,1421
136,K002464_S20.lf_filt,K002187_S21.lf_filt,11.501602,28,1421
